 id cycle setting1 setting2 setting3 s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s13 s14 s15 s16 s17 s18 s19 s20 s21 RUL label1 label2
0 1 1 0.460 0.167 0.000 0.000 0.184 0.407 0.310 0.000 1.000 0.726 0.242 0.110 0.000 0.369 0.633 0.206 0.200 0.364 0.000 0.333 0.000 0.000 0.713 0.725 0.529 1 2
1 1 2 0.609 0.250 0.000 0.000 0.283 0.453 0.353 0.000 1.000 0.628 0.212 0.100 0.000 0.381 0.765 0.279 0.163 0.411 0.000 0.333 0.000 0.000 0.667 0.731 0.526 1 2
2 1 3 0.253 0.750 0.000 0.000 0.343 0.370 0.371 0.000 1.000 0.710 0.273 0.140 0.000 0.250 0.795 0.221 0.172 0.357 0.000 0.167 0.000 0.000 0.628 0.621 0.524 1 2
3 1 4 0.540 0.500 0.000 0.000 0.343 0.256 0.331 0.000 1.000 0.741 0.318 0.125 0.000 0.167 0.889 0.294 0.175 0.167 0.000 0.333 0.000 0.000 0.574 0.662 0.521 1 2
4 1 5 0.391 0.333 0.000 0.000 0.349 0.257 0.405 0.000 1.000 0.668 0.242 0.150 0.000 0.256 0.746 0.235 0.175 0.402 0.000 0.417 0.000 0.000 0.589 0.705 0.518 1 2
5 1 6 0.253 0.417 0.000 0.000 0.268 0.293 0.272 0.000 1.000 0.776 0.182 0.125 0.000 0.185 0.638 0.221 0.170 0.331 0.000 0.250 0.000 0.000 0.651 0.653 0.515 1 2
6 1 7 0.557 0.583 0.000 0.000 0.383 0.464 0.262 0.000 1.000 0.723 0.182 0.168 0.000 0.304 0.774 0.221 0.167 0.279 0.000 0.333 0.000 0.000 0.744 0.667 0.512 1 2
7 1 8 0.305 0.750 0.000 0.000 0.407 0.260 0.316 0.000 1.000 0.644 0.152 0.086 0.000 0.232 0.806 0.221 0.161 0.318 0.000 0.250 0.000 0.000 0.643 0.575 0.510 1 2
8 1 9 0.546 0.583 0.000 0.000 0.274 0.435 0.212 0.000 1.000 0.618 0.227 0.111 0.000 0.262 0.661 0.250 0.133 0.184 0.000 0.333 0.000 0.000 0.705 0.708 0.507 1 2
9 1 10 0.310 0.583 0.000 0.000 0.151 0.440 0.307 0.000 1.000 0.602 0.227 0.134 0.000 0.107 0.661 0.265 0.152 0.399 0.000 0.417 0.000 0.000 0.628 0.794 0.504 1 2
10 1 11 0.603 0.250 0.000 0.000 0.322 0.233 0.310 0.000 1.000 0.755 0.227 0.125 0.000 0.179 0.578 0.191 0.210 0.420 0.000 0.333 0.000 0.000 0.620 0.807 0.501 1 2
11 1 12 0.592 0.667 0.000 0.000 0.256 0.270 0.302 0.000 1.000 0.752 0.288 0.124 0.000 0.196 0.663 0.206 0.177 0.265 0.000 0.250 0.000 0.000 0.713 0.651 0.499 1 2
12 1 13 0.391 0.833 0.000 0.000 0.560 0.243 0.314 0.000 1.000 0.578 0.333 0.113 0.000 0.315 0.674 0.294 0.145 0.347 0.000 0.417 0.000 0.000 0.612 0.527 0.496 1 2
13 1 14 0.552 0.500 0.000 0.000 0.343 0.478 0.285 0.000 1.000 0.746 0.288 0.115 0.000 0.351 0.635 0.176 0.178 0.275 0.000 0.417 0.000 0.000 0.806 0.674 0.493 1 2
14 1 15 0.397 0.250 0.000 0.000 0.367 0.279 0.336 0.000 1.000 0.610 0.318 0.137 0.000 0.268 0.812 0.294 0.143 0.366 0.000 0.250 0.000 0.000 0.659 0.629 0.490 1 2
15 1 16 0.534 0.917 0.000 0.000 0.277 0.369 0.376 0.000 1.000 0.659 0.227 0.124 0.000 0.232 0.597 0.279 0.187 0.264 0.000 0.333 0.000 0.000 0.643 0.774 0.488 1 2
16 1 17 0.511 0.667 0.000 0.000 0.413 0.303 0.299 0.000 1.000 0.636 0.242 0.149 0.000 0.161 0.682 0.235 0.193 0.497 0.000 0.333 0.000 0.000 0.519 0.604 0.485 1 2
17 1 18 0.322 0.417 0.000 0.000 0.425 0.436 0.234 0.000 1.000 0.700 0.227 0.125 0.000 0.214 0.655 0.279 0.169 0.300 0.000 0.333 0.000 0.000 0.581 0.697 0.482 1 2
18 1 19 0.684 0.250 0.000 0.000 0.175 0.360 0.306 0.000 1.000 0.697 0.212 0.145 0.000 0.327 0.682 0.221 0.151 0.412 0.000 0.250 0.000 0.000 0.512 0.624 0.479 1 2
19 1 20 0.287 0.583 0.000 0.000 0.551 0.220 0.388 0.000 1.000 0.799 0.227 0.108 0.000 0.220 0.721 0.206 0.154 0.370 0.000 0.333 0.000 0.000 0.690 0.729 0.476 1 2
20 1 21 0.431 0.583 0.000 0.000 0.349 0.328 0.268 0.000 1.000 0.681 0.318 0.119 0.000 0.179 0.795 0.294 0.176 0.308 0.000 0.333 0.000 0.000 0.736 0.574 0.474 1 2
21 1 22 0.511 0.500 0.000 0.000 0.470 0.477 0.309 0.000 1.000 0.609 0.212 0.177 0.000 0.232 0.706 0.221 0.157 0.302 0.000 0.333 0.000 0.000 0.605 0.670 0.471 1 2
22 1 23 0.695 0.250 0.000 0.000 0.280 0.374 0.211 0.000 1.000 0.665 0.227 0.110 0.000 0.238 0.603 0.250 0.144 0.381 0.000 0.333 0.000 0.000 0.620 0.776 0.468 1 2
23 1 24 0.443 0.750 0.000 0.000 0.352 0.431 0.280 0.000 1.000 0.586 0.333 0.099 0.000 0.351 0.733 0.221 0.175 0.247 0.000 0.333 0.000 0.000 0.667 0.656 0.465 1 2
24 1 25 0.632 0.167 0.000 0.000 0.470 0.503 0.289 0.000 1.000 0.668 0.182 0.146 0.000 0.304 0.825 0.206 0.189 0.257 0.000 0.417 0.000 0.000 0.628 0.738 0.463 1 2
25 1 26 0.500 0.667 0.000 0.000 0.286 0.393 0.233 0.000 1.000 0.686 0.258 0.114 0.000 0.244 0.765 0.265 0.161 0.389 0.000 0.500 0.000 0.000 0.558 0.719 0.460 1 2
26 1 27 0.431 0.167 0.000 0.000 0.370 0.424 0.331 0.000 1.000 0.680 0.182 0.118 0.000 0.310 0.706 0.368 0.179 0.307 0.000 0.417 0.000 0.000 0.659 0.764 0.457 1 2
27 1 28 0.362 0.917 0.000 0.000 0.343 0.257 0.285 0.000 1.000 0.778 0.333 0.126 0.000 0.333 0.827 0.294 0.141 0.413 0.000 0.167 0.000 0.000 0.674 0.538 0.454 1 2
28 1 29 0.569 0.417 0.000 0.000 0.211 0.301 0.316 0.000 1.000 0.709 0.227 0.129 0.000 0.232 0.793 0.265 0.171 0.362 0.000 0.417 0.000 0.000 0.612 0.643 0.452 1 2
29 1 30 0.374 0.500 0.000 0.000 0.298 0.490 0.233 0.000 1.000 0.728 0.258 0.107 0.000 0.327 0.746 0.176 0.196 0.314 0.000 0.167 0.000 0.000 0.705 0.714 0.449 1 2
30 1 31 0.580 0.917 0.000 0.000 0.244 0.286 0.247 0.000 1.000 0.689 0.273 0.166 0.000 0.333 0.695 0.265 0.131 0.329 0.000 0.333 0.000 0.000 0.620 0.609 0.446 1 2
31 1 32 0.529 0.250 0.000 0.000 0.337 0.443 0.306 0.000 1.000 0.823 0.212 0.131 0.000 0.238 0.689 0.279 0.154 0.346 0.000 0.333 0.000 0.000 0.682 0.836 0.443 1 2
32 1 33 0.259 0.167 0.000 0.000 0.452 0.378 0.341 0.000 1.000 0.767 0.212 0.114 0.000 0.256 0.687 0.294 0.178 0.194 0.000 0.333 0.000 0.000 0.535 0.630 0.440 1 2
33 1 34 0.586 0.417 0.000 0.000 0.401 0.227 0.308 0.000 1.000 0.717 0.197 0.111 0.000 0.369 0.642 0.309 0.138 0.423 0.000 0.333 0.000 0.000 0.519 0.573 0.438 1 2
34 1 35 0.517 0.667 0.000 0.000 0.370 0.413 0.350 0.000 1.000 0.717 0.212 0.108 0.000 0.274 0.652 0.191 0.208 0.454 0.000 0.250 0.000 0.000 0.767 0.721 0.435 1 2
35 1 36 0.477 0.333 0.000 0.000 0.401 0.233 0.393 0.000 1.000 0.754 0.167 0.102 0.000 0.238 0.774 0.235 0.168 0.384 0.000 0.333 0.000 0.000 0.558 0.741 0.432 1 2
36 1 37 0.477 0.500 0.000 0.000 0.235 0.176 0.281 0.000 1.000 0.770 0.258 0.151 0.000 0.262 0.768 0.235 0.165 0.344 0.000 0.333 0.000 0.000 0.659 0.747 0.429 1 2
37 1 38 0.397 0.333 0.000 0.000 0.217 0.405 0.291 0.000 1.000 0.781 0.273 0.150 0.000 0.250 0.795 0.294 0.189 0.350 0.000 0.333 0.000 0.000 0.713 0.804 0.427 1 2
38 1 39 0.328 0.417 0.000 0.000 0.241 0.265 0.311 0.000 1.000 0.663 0.182 0.135 0.000 0.161 0.755 0.250 0.164 0.343 0.000 0.333 0.000 0.000 0.434 0.657 0.424 1 2
39 1 40 0.500 0.167 0.000 0.000 0.310 0.241 0.330 0.000 1.000 0.760 0.242 0.140 0.000 0.286 0.672 0.191 0.160 0.206 0.000 0.333 0.000 0.000 0.543 0.667 0.421 1 2
40 1 41 0.690 0.833 0.000 0.000 0.358 0.442 0.354 0.000 1.000 0.623 0.242 0.122 0.000 0.143 0.721 0.221 0.197 0.431 0.000 0.333 0.000 0.000 0.767 0.760 0.418 1 2
41 1 42 0.529 0.167 0.000 0.000 0.274 0.297 0.323 0.000 1.000 0.659 0.273 0.159 0.000 0.381 0.755 0.250 0.160 0.342 0.000 0.333 0.000 0.000 0.667 0.664 0.416 1 2
